CATAID,RA,DEC,NQ,Z_TONRY,DM_70_25_75
15898,217.18744,0.7115,5,0.0576415,37.0583
15961,217.38249,0.73711,5,0.0313272,35.6906
15967,217.29463,0.79148,5,0.0992124,38.3033
16018,217.44701,0.68802,5,0.0548048,36.9441
16022,217.45755,0.66482,5,0.0544845,36.9308
16026,217.53452,0.70347,5,0.0546031,36.9357
16083,217.68806,0.77545,5,0.0882268,38.0314
16164,217.84004,0.68771,5,0.0960905,38.229
16166,217.85255,0.66739,5,0.0959803,38.2264
16206,217.91407,0.8154,5,0.096349,38.2353
16209,217.93482,0.81194,5,0.0958583,38.2234
16242,218.13437,0.7715,5,0.0349674,35.9354
16243,218.12983,0.77067,5,0.0720763,37.5669
16254,218.0644,0.76721,5,0.0722777,37.5732
16294,218.20742,0.63696,5,0.0297489,35.5757
16317,218.33731,0.8373,5,0.0349136,35.932
16327,218.33399,0.66464,5,0.0790485,37.7785
16330,218.36659,0.77249,5,0.0788374,37.7723
16372,218.50934,0.656,5,0.0320691,35.7427
16386,218.48508,0.65278,5,0.0793661,37.7877
16428,218.6297,0.69243,5,0.0728184,37.5903
16429,218.65632,0.66303,5,0.031326,35.6905
16507,219.13746,0.67635,5,0.0567071,37.0213
16514,219.19501,0.71983,5,0.0574866,37.0522
16521,219.14998,0.6883,5,0.0562565,37.0033
16522,219.15064,0.81835,5,0.0732491,37.6038
16526,219.18606,0.71005,5,0.0570065,37.0333
16567,219.29697,0.82899,5,0.0790108,37.7774
16570,219.33708,0.78678,5,0.0787501,37.7698
16632,219.51407,0.76202,5,0.0834805,37.904
16638,219.62273,0.79336,5,0.0835085,37.9047
16792,220.13972,0.63703,5,0.0509053,36.7775
16828,220.45285,0.68699,5,0.00750525,32.546
16863,220.6956,0.66173,5,0.00724444,32.4688
16926,220.94264,0.7179,5,0.0511509,36.7884
16948,221.10413,0.78285,5,0.0272694,35.3827
16993,221.32834,0.66289,5,0.059,37.1112
17093,221.79582,0.83426,5,0.0963477,38.2354
17138,221.96186,0.70102,5,0.0713872,37.5451
17188,222.21551,0.71633,5,0.0758557,37.684
17245,222.53064,0.65813,5,0.0298549,35.5838
17273,222.76293,0.68299,5,0.0698112,37.4941
